NTCIR12-MathWiki-1 xxx Prime_zeta_function:28 1 1.7320508075688774e-05 Run_1
NTCIR12-MathWiki-1 xxx Prime_zeta_function:27 2 0.3427862700757253 Run_1
NTCIR12-MathWiki-1 xxx Prime_zeta_function:26 3 0.5652602739420336 Run_1
NTCIR12-MathWiki-1 xxx Prime_zeta_function:25 4 0.5796637805039642 Run_1
NTCIR12-MathWiki-1 xxx Prime_zeta_function:34 5 1.509837537329116 Run_1
NTCIR12-MathWiki-1 xxx Prime_zeta_function:35 6 1.560572439562937 Run_1
NTCIR12-MathWiki-1 xxx Prime_zeta_function:36 7 1.5825884937327466 Run_1
NTCIR12-MathWiki-1 xxx Prime_zeta_function:22 8 1.6271899061208408 Run_1
NTCIR12-MathWiki-1 xxx Prime_zeta_function:21 9 1.6334574083775883 Run_1
NTCIR12-MathWiki-1 xxx Prime_zeta_function:33 10 1.6627904711426982 Run_1
NTCIR12-MathWiki-1 xxx Prime_zeta_function:20 11 1.7101335468977803 Run_1
NTCIR12-MathWiki-1 xxx RiemannSiegel_theta_function:10 12 1.7437606129319003 Run_1
NTCIR12-MathWiki-1 xxx RiemannSiegel_theta_function:9 13 1.7573687329296694 Run_1
NTCIR12-MathWiki-1 xxx Prime_zeta_function:19 14 1.8825355147883442 Run_1
NTCIR12-MathWiki-1 xxx Rate-monotonic_scheduling:8 15 1.9280356859069885 Run_1
NTCIR12-MathWiki-1 xxx Repeating_decimal:42 16 1.9464174039677518 Run_1
NTCIR12-MathWiki-1 xxx RiemannSiegel_theta_function:11 17 1.9501209072764014 Run_1
NTCIR12-MathWiki-1 xxx Prime_zeta_function:14 18 1.9855441391203983 Run_1
NTCIR12-MathWiki-1 xxx GaussLegendre_algorithm:7 19 1.988330595411746 Run_1
NTCIR12-MathWiki-1 xxx Repeating_decimal:1 20 2.0086376826562633 Run_1
NTCIR12-MathWiki-1 xxx Disjunctive_sequence:0 21 2.011642405462884 Run_1
NTCIR12-MathWiki-1 xxx Prime_zeta_function:13 22 2.0168956626736683 Run_1
NTCIR12-MathWiki-1 xxx Prime_zeta_function:11 23 2.036718632224373 Run_1
NTCIR12-MathWiki-1 xxx GaussLegendre_algorithm:6 24 2.0406048600256455 Run_1
NTCIR12-MathWiki-1 xxx Prime_zeta_function:15 25 2.0562106297758933 Run_1
NTCIR12-MathWiki-1 xxx Airy_disk:32 26 2.0796103585904877 Run_1
NTCIR12-MathWiki-1 xxx Shapiro_inequality:4 27 2.08705312267661 Run_1
NTCIR12-MathWiki-1 xxx Prime_zeta_function:12 28 2.09615210383559 Run_1
