NTCIR12-MathWiki-1 373329|7,0,0|7,0,0 Prime_zeta_function:28 1 29993.000000 3-beta-90-4
NTCIR12-MathWiki-1 373328|7,0,0|7,0,0 Prime_zeta_function:27 2 29993.000000 3-beta-90-4
NTCIR12-MathWiki-1 373327|7,0,0|7,0,0 Prime_zeta_function:26 3 29993.000000 3-beta-90-4
NTCIR12-MathWiki-1 373326|7,0,0|7,0,0 Prime_zeta_function:25 4 29993.000000 3-beta-90-4
NTCIR12-MathWiki-1 224792|7,0,0|38,0,0 Pell_number:61 5 29667.000000 3-beta-90-4
NTCIR12-MathWiki-1 224788|7,0,0|38,0,0 Pell_number:57 6 29667.000000 3-beta-90-4
NTCIR12-MathWiki-1 224776|7,0,0|38,0,0 Pell_number:45 7 29667.000000 3-beta-90-4
NTCIR12-MathWiki-1 224796|7,0,0|38,0,0 Pell_number:65 8 29667.000000 3-beta-90-4
NTCIR12-MathWiki-1 224780|7,0,0|38,0,0 Pell_number:49 9 29667.000000 3-beta-90-4
NTCIR12-MathWiki-1 372411|7,0,0|38,0,0 Periodic_continued_fraction:12 10 29667.000000 3-beta-90-4
NTCIR12-MathWiki-1 224784|7,0,0|38,0,0 Pell_number:53 11 29667.000000 3-beta-90-4
NTCIR12-MathWiki-1 228998|7,0,0|e,0,0 Riesz_function:34 12 29587.000000 3-beta-90-4
NTCIR12-MathWiki-1 274791|7,0,0|1c,0,0 Trigamma_function:23 13 29557.000000 3-beta-90-4
NTCIR12-MathWiki-1 26304|7,0,0|b0,0,0 Golden_ratio:14 14 29548.000000 3-beta-90-4
NTCIR12-MathWiki-1 263905|7,0,0|380,0,0 Particular_values_of_Riemann_zeta_function:40 15 29530.000000 3-beta-90-4
NTCIR12-MathWiki-1 263904|7,0,0|700,0,0 Particular_values_of_Riemann_zeta_function:39 16 29508.000000 3-beta-90-4
NTCIR12-MathWiki-1 183155|7,0,0|70,0,0 Mathematical_coincidence:29 17 29498.000000 3-beta-90-4
NTCIR12-MathWiki-1 26309|7,0,0|580,0,0 Golden_ratio:19 18 29468.000000 3-beta-90-4
NTCIR12-MathWiki-1 369650|7,0,0|e,0,0 Misiurewicz_point:45 19 29449.000000 3-beta-90-4
NTCIR12-MathWiki-1 21929|7,0,0|b00,0,0 Fibonacci_number:10 20 29449.000000 3-beta-90-4
NTCIR12-MathWiki-1 562593|7,0,0|1c000,0,0 Mathematical_constants_and_functions:355 21 29422.000000 3-beta-90-4
NTCIR12-MathWiki-1 234153|7,0,0|38000000000,0,0 Stieltjes_constants:36 22 29260.000000 3-beta-90-4
NTCIR12-MathWiki-1 153213|3,0,0|6,0,0 Smith_chart:152 23 25203.000000 3-beta-90-4
NTCIR12-MathWiki-1 153204|3,0,0|6,0,0 Smith_chart:143 24 25203.000000 3-beta-90-4
NTCIR12-MathWiki-1 95266|6,0,0|18,0,0 Nth_root:12 25 25143.000000 3-beta-90-4
NTCIR12-MathWiki-1 412052|3,0,0|6,0,0 Douady_rabbit:63 26 25086.000000 3-beta-90-4
NTCIR12-MathWiki-1 412053|3,0,0|6,0,0 Douady_rabbit:64 27 25086.000000 3-beta-90-4
NTCIR12-MathWiki-1 412072|3,0,0|6,0,0 Douady_rabbit:83 28 25086.000000 3-beta-90-4
NTCIR12-MathWiki-1 101623|6,0,0|c,0,0 Quintic_function:37 29 25075.000000 3-beta-90-4
NTCIR12-MathWiki-1 376669|3,0,0|3,0,0 ScRGB:1 30 25075.000000 3-beta-90-4
NTCIR12-MathWiki-1 376672|3,0,0|3,0,0 ScRGB:4 31 25075.000000 3-beta-90-4
NTCIR12-MathWiki-1 230017|3,0,0|c,0,0 Rössler_attractor:46 32 25044.000000 3-beta-90-4
NTCIR12-MathWiki-1 47212|3,0,0|18,0,0 Quadratic_equation:124 33 25010.000000 3-beta-90-4
NTCIR12-MathWiki-1 412030|3,0,0|18,0,0 Douady_rabbit:41 34 25010.000000 3-beta-90-4
NTCIR12-MathWiki-1 153141|3,0,0|6,0,0 Smith_chart:80 35 24994.000000 3-beta-90-4
NTCIR12-MathWiki-1 50720|3,0,0|c,0,0 Roulette:25 36 24994.000000 3-beta-90-4
NTCIR12-MathWiki-1 435194|6,0,0|180,0,0 Spiral_of_Theodorus:6 37 24984.000000 3-beta-90-4
NTCIR12-MathWiki-1 188296|3,0,0|30,0,0 Polaron:8 38 24984.000000 3-beta-90-4
NTCIR12-MathWiki-1 504449|3,0,0|c,0,0 Radiodrome:20 39 24938.000000 3-beta-90-4
